RA (J2022.74),DE (J2022.74),RA (degrees),DE (degrees),Name,RA Error (arcsec),DE Error (arcsec)
15h 56m 14s, 58° 51' 02",239.058,58.8506,HD 143187,,
15h 56m 14s, 58° 51' 02",239.058,58.8506,HD 143187,,
15h 56m 14s, 58° 51' 02",239.058,58.8506,HD 143187,-105.349,10.021
16h 54m 58s, 62° 04' 04",253.742,62.0678,HD 153344,-137.886,7.094
18h 05m 58s, 65° 51' 21",271.492,65.8558,HD 79353,-230.695,9.241
12h 44m 55s, 80° 29' 53",191.229,80.4981,HD 111112,,
16h 34m 04s, 79° 06' 18",248.517,79.105,HD 133131,-407.836,6.297
16h 38m 42s, 78° 06' 58",249.675,78.1161,HD 338536,-405.923,9.947
16h 55m 05s, 77° 37' 17",253.771,77.6214,HD 154528,,
16h 55m 05s, 77° 37' 17",253.771,77.6214,HD 154528,,
16h 42m 06s, 77° 28' 38",250.525,77.4772,HD 152303,,
16h 34m 19s, 77° 42' 47",248.579,77.7131,HD 151043,-358.961,6.971
